ID,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Code,Skill,Category,Subcategory,Overall description,Guidance notes,Level 1 description,Level 2 description,Level 3 description,Level 4 description,Level 5 description,Level 6 description,Level 7 description
65,,2,3,4,5,,,BINT,Business intelligence,Development and implementation,Data and analytics,"Developing, producing and delivering regular and one-off management information to provide insights and aid decision-making.","Typically applied in supporting operational needs through management and governance processes. May be one-off or regular activities aligned with the organisation's planning and reporting cycles.
Activities may include — but are not limited to:

understanding business needs and objectives
identifying and validating internal and external data sets generated from a diverse range of business and operational processes
transforming the results of analysis into information that can be communicated to stakeholders using dashboards and reports
interpreting and analysing data, comparative analysis, benchmarking, trend analysis
bringing data together to communicate clear themes and trends
focusing on data quality to provide confidence for making decisions on a single version of the truth.
",,"Assists with the creation of regular business intelligence reports using standard tools. 
Supports data preparation from existing sources.","Sources and prepares data for analysis and performs standard business intelligence analysis  activities. 
Creates and delivers standard reports in accordance with stakeholder needs and conforming to agreed standards. 
Investigates the need for new or revised business intelligence analysis.  
Contributes to the recommendation of improvements. Engages with stakeholders under direction.","Supports business intelligence needs of specific management or governance processes or operational areas. 
Investigates the need for business intelligence reporting and analysis where there is some complexity and ambiguity. 
Selects and applies non-standard business intelligence tools and techniques to provide insights and aid decision-making. Selects, acquires and integrates data for analysis. 
Identifies opportunities to digitise and streamline operational data handling and optimise business intelligence capabilities.","Plans and manages business intelligence activities. 
Ensures that business intelligence processes are robust, efficient and fit for purpose, focusing on automation, key controls and data quality. Advises on the available standards, procedures, methods, tools and techniques.
Manages reviews of the benefits and value of business intelligence techniques and tools and recommends improvements. 
Contributes to the development of analytics policy, standards and guidelines.",,
66,,,3,4,5,,,VISL,Data visualisation,Development and implementation,Data and analytics,"Facilitating understanding of data by displaying concepts, ideas, and facts using graphical representations.","Activities may include — but are not limited to:

condensing and encapsulating data characteristics, making it easier to surface opportunities, identify risks, analyse trends, and drive effective decision-making
presenting findings and data insights in creative ways to facilitate the understanding of data across a range of technical and non-technical audiences.

The skill is typically put into practice by using specialist analytics tools.  Specialisation in this skill implies a requirement to use more than just standard office software to create graphical representations of simple data.
",,,"Uses a visualisation product, as guided, to design and create data visuals. 
Selects appropriate visualisation techniques from the options available. 
Engages with the target user to prototype and refine specified visualisations.","Applies a variety of visualisation techniques and designs the content and appearance of data visuals. 
Operationalises and automates activities for efficient and timely production of data visuals. 
Selects appropriate visualisation approaches from a range of applicable options. 
Contributes to exploration and experimentation in data visualisation.","Leads exploration of new approaches for data visualisation.
Establishes the purpose and parameters of the data visualisation. Provides overall control to ensure the appropriate use of data visualisation tools and techniques. 
Formats and communicates results using textual, numeric, graphical and other visualisation methods appropriate to the target audience. 
Advises on the appropriate use of data visualisation for different purposes and contexts to satisfy requirements. Develops plans showing how the identified user needs will be met.",,
67,,,3,4,5,6,,URCH,User research,Development and implementation,User experience,"Identifying users' behaviours, needs and motivations using observational research methods.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
User research has a different set of responsibilities to academic research or user requirements elicitation. User research incorporates significant involvement of users to generate deep understanding and uncover new opportunities for systems, products, services or devices. 
Activities may include — but are not limited to: 

using ethnography, observation techniques, task analysis, and other methodologies that incorporate both the social and technological context
quantifying different user populations and their needs
identifying target users and segments in order to maximise the chances of design success for systems, products, services, or devices
including a range of users in research activities to capture the diversity of users'  behaviours, needs and motivations.
",,,"Applies standard methods to support user research initiatives.
Engages effectively with users and customer representatives to generate high-quality research. 
Documents and shares the outcomes of user research.","Conducts generative research for the development of systems, products, services or devices. 
Plans own user research activities. Facilitates input from users and stakeholders. 
Collects and analyses user research data. Supports synthesis of research and the creation of insights, reports and presentations. 
Contributes to the selection of the user research approaches for projects and initiatives. Supports the adoption of agreed approaches.","Plans and drives user research activities providing expert advice and guidance to support the adoption of agreed approaches. 
Determines the approaches to be used for including users in generative research. 
Leads the collection and analysis of user research data. Synthesises research, develops insights and presents conclusions to inform decision-making and drive actions. 
Contributes to the development of organisational methods and standards for user research.","Champions user-centred design and secures organisational commitment to the significant involvement of users in research. 
Develops organisational policies, standards, and guidelines for user research. 
Develops or sources organisational resources and capabilities to facilitate the adoption and exploitation of user research. 
Collaborates with internal and external partners to facilitate effective user research.",
68,,,3,4,5,,,UNAN,User experience analysis,Development and implementation,User experience,"Understanding the context of use for systems, products and services and specifying user experience requirements and design goals.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
Activities may include — but are not limited to:

identifying, analysing, clarifying, and communicating the context of use
describing users’ goals, tasks and the environment within which the systems, products, services or devices will be used
creating and describing personas to represent key user segments
developing user stories or requirements to describe features or capabilities 
agreeing user experience design goals
analysing and prioritising user experience needs with stakeholders
understanding and specifying user experience and user accessibility requirements for all potential users.
",,,"Applies standard techniques and tools for developing user stories and eliciting user experience requirements. 
Organises and structures user experience analysis. 
Works with stakeholders to prioritise requirements and resolve conflicts.","Selects appropriate techniques and tools to develop user stories and elicit user experience requirements in complex situations. 
Identifies and describes the design goals for systems, products, services and devices. 
Identifies the roles of affected stakeholder groups. Resolves potential conflicts between differing user requirements. 
Specifies measurable criteria for the required usability and accessibility of systems, products, services and devices.","Determines the approaches to be used for user experience analysis. 
Plans and manages user experience and accessibility analysis activities. 
Provides expert advice and guidance to support the adoption and adaptation of agreed approaches.  
Develops user experience tools, techniques and standards as part of the organisation's framework for user-centred design",,
69,,,3,4,5,6,,HCEV,User experience design,Development and implementation,User experience,"Producing design concepts and prototypes for user interactions with and experiences of a product, system or service.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
Activities may include — but are not limited to:

understanding and addressing design goals, usability and accessibility requirements
using an iterative design process to enhance user satisfaction by improving usability and accessibility 
designing digital and offline tasks, interactions and interfaces
refining designs in response to user experience evaluation 
communicating the design to those responsible for design, development and implementation of products, systems and services
sketching, ideation, creating storyboards, static wireframes or dynamic prototypes
developing alternative design and evaluating advantages, disadvantages, constraints and trade-offs.
",,,"Applies standard techniques and tools for designing user interactions with and experiences of selected system, product or service components. 
Reviews design goals and agreed security, usability and accessibility requirements. Creates storyboards, static wireframes and dynamic or workable prototypes.
Assists, as part of a team, with overall user experience design. 
Assists in the evaluation of design options and trade-offs. Consistently applies visual design and branding guidelines.","Selects appropriate tools, methods and design patterns to design user interactions with and experiences of a product, system or service.
Translates concepts into outputs and prototypes and captures user feedback or evaluation to improve designs. 
Evaluates alternative design options and recommends designs taking into account performance, security, usability and accessibility requirements. 
Interprets and follows visual design and branding guidelines to create a consistent and impactful user experience.","Plans and drives user experience design activities, providing expert advice and guidance to support the adoption of agreed approaches.
Determines the approaches to be used to design user experiences. 
Uses iterative approaches to incorporate user feedback or evaluation rapidly into designs. 
Integrates required visual design and branding into the user experience design activities.","Obtains organisational commitment to strategies to deliver required user experience, usability, accessibility and security. 
Defines organisational policies, standards and techniques for user experience design. 
Plans and leads user experience design activities for strategic, large or complex programmes.",
70,,2,3,4,5,6,,USEV,User experience evaluation,Development and implementation,User experience,"Validating systems, products or services against user experience goals, metrics and targets.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
Evaluation is typically part of an iterative user experience design process  and contributes to the improvement of the product or service. An evaluation can also be the starting point if an existing system, product or service is to be replaced or improved. Methods include user trials, expert review, survey and analysis.
Activities may include — but are not limited to:

providing assurance that user stories or requirements have been met and required practice has been followed to address accessibility, usability, security, health and safety
applying a range of qualitative and quantitative evaluation techniques
selecting from lightweight/rapid techniques or more thorough and resource-intensive approaches
selecting appropriate use of formative or summative evaluations.
facilitating both moderated and unmoderated tests.

",,"Assists in preparing and operating the environment, facilities and tools needed to evaluate systems, products, services or devices. 
Assists in the collection of feedback on prototypes and designs from users and others.","Evaluates design options and prototypes to obtain user feedback on requirements of developing systems, products, services or devices.
Tests the usability and accessibility of components and alternative designs. Administers a range of evaluations, recording data and feedback. Analyses evaluation data and recommends actions. Identifies areas for future user research.
Checks systems, products, services or devices for adherence to applicable standards, guidelines, style guides, and legislation. 
Evaluates the usability of existing or competitor systems to provide benchmark values and as input to design.","Selects appropriate tools and techniques to evaluate user experiences of systems, products,  services or devices.
Validates that security, usability and accessibility requirements have been met. 
Checks operational systems, products, services or devices for changes in usability and accessibility needs. 
Interprets and presents results of evaluations, prioritises issues and reports on remedial actions. Collates input for future user research.","Manages user experience evaluation of systems, products, services or devices. 
Assures that the security, usability and accessibility requirements have been met and that required practices have been followed. 
Advises on what to evaluate, the type of evaluation to use and the extent of user involvement required. 
Works iteratively with design teams to ensure that feedback from the evaluation is understood and acted upon by designers and developers. Advises on the achievement of required usability and accessibility levels of specific designs or prototypes. Prioritises input for future user research.","Champions high standards in user interaction with the organisation’s systems, products and services including involvement of users in evaluation activities. 
Specifies standards and methods for security, usability and accessibility and ensure that this is addressed in future designs. 
Develops or sources resources and capabilities to conduct effective user experience evaluation, including specialist user-centred facilities and communities of users. Leads the provision of input and resources for future user research.
Collaborates with internal and external partners to facilitate an effective evaluation of systems, products and services.",
71,1,2,3,4,5,6,,INCA,Content authoring,Development and implementation,Content management,"Planning, designing and creating textual information, supported where necessary by graphical content.","Content may be delivered via digital, print, or other media.
Activities may include — but are not limited to:

understanding the requirements of the intended audience in collaboration with clients and/or representatives of the intended audience
applying the principles of authoring, designing, controlling, and presenting textual information
taking into consideration how information may be presented, identified, and searched for
managing the authoring process and the interaction with editorial and publication processes
gathering source information and creating draft content
identifying appropriate illustrations or graphics
understanding and applying copyright rules and related legal issues
creating and using guidelines to present information clearly, concisely, and accurately
designing collections of artefacts, spread across multiple media.
","Contributes, under instruction, to the generation of content, and the configuration of content items and files. 
Executes pre-planned testing activities under supervision and records findings.","Works with colleagues and clients to understand audience needs and to assimilate source material. 
Creates draft content to meet the requirements of the audience as clearly, simply and quickly as possible. 
Applies guidelines and standards to moderate content from others, escalating where appropriate.","Produces information artefacts that are accurate, current, relevant and easily understood by the intended audience. 
Clarifies detailed content requirements with clients and representatives of the intended audience. 
Designs, creates, controls and evaluates moderately complex subject matter. 
Makes informed decisions about the best way to present information to an audience. Applies moderation and editing processes to content supplied by others.","Designs the content and appearance of complex information deliverables. 
Controls, monitors, and evaluates content to ensure quality, consistency and accessibility of messages and optimal use of chosen media. Understands and manages risks associated with publishing content.
Moderates content and ensures content can be re-purposed appropriately. 
Reviews work of others and takes responsibility for ensuring appropriate publication.","Provides overall editorial control across the team or teams of content designers and authors. 
Advises on appropriate content formats and mediums. 
Develops and maintains content plans showing how the identified audience needs will be met. 
Oversees the review and approval of materials to enable requirements to be satisfied.","Obtains organisational commitment to policies, standards, and strategies to create required content. 
Specifies design standards and methods to meet organisational objectives for content creation. 
Plans and leads content creation for strategic, large and complex programmes.",
72,1,2,3,4,5,6,,ICPM,Content publishing,Development and implementation,Content management,"Managing and continually improving the processes that collect, assemble and publish content.","Information content may be in structured, unstructured or semi-structured forms.
Activities may include — but are not limited to:

understanding the requirements of the organisation and the desired audience
evaluating different publishing methods and options, and their costs, features and benefits — including open source and proprietary options
developing and implementing a framework for content publishing, including preferred media, overall information structure, and rules for formatting content
converting content into a format suitable for publication
delivering content to the user at the point of need
managing copyright, data protection and other legal issues associated with publishing and re-using published information and data
ensuring published material is in a form accessible to all potential users, including those with disabilities
releasing or retiring content.
","Contributes, under instruction, to publication support activities. 
Supports the collation of data. 
Uses established publishing processes according to appropriate guidelines.","Understands technical publication concepts, tools and methods and how to use them.
Uses agreed procedures to publish content. 
Obtains and analyses usage data and presents it effectively. 
Applies principles of usability and accessibility to published information.","Coordinates content management processes to meet the needs of users. 
Uses content publishing systems to manage published content across different channels. 
Takes into account any legal issues related to publishing.","Applies organisational guidelines and uses appropriate tools and techniques to provide publishing interfaces to new or existing platforms and applications. 
Maintains and updates content management processes to meet the needs of users. 
Selects appropriate channels through which content should be published. Provides advice to users and content authors to leverage the features of the relevant channels and tools used. 
Identifies the legal implications associated with publishing.","Plans and manages content publishing activities and assignments. 
Develops standards and procedures to support content publishing across one or more platforms/channels. Advises on the approach and techniques to be used for content publishing. 
Assures design of the overall content structure and style. 
Ensures that publication processes comply with agreed policies and strategies and legal requirements.","Obtains organisational commitment and resources to ensure the appropriate quality of material published by or on behalf of the organisation. 
Defines organisational policies, standards and techniques for content publishing. 
Plans and leads content publishing activities for strategic, large and complex programmes. 
Ensures that policies are implemented, and any legal issues related to publishing are adequately managed.",
73,,2,3,4,5,6,7,KNOW,Knowledge management,Development and implementation,Content management,Managing vital knowledge to create value for the organisation.,"Knowledge management aims to improve performance, support decision-making and mitigate risks. 
Activities may include — but are not limited to:

systematically capturing, sharing, developing and exploiting the collective knowledge of the organisation
tailoring knowledge management approaches
developing a supportive and collaborative knowledge sharing culture to drive the successful adoption of technology solutions for knowledge management
providing access to informal, tacit knowledge as well as formal, documented, explicit knowledge
facilitating internal and external collaboration and communications
establishing and supporting communities of practice
capturing, organising and developing information, knowledge and stories from employees, customers and external partners
external benchmarking.
",,"Maintains a knowledge management database. 
Leverages knowledge of a specialism to capture and classify content, taking expert advice when required.","Maintains knowledge management systems and content to meet business needs.
Supports others to enable them to complete knowledge management activities and form knowledge management habits. Supports changes to work practices to support capture and use of knowledge.
Reports on the progress of knowledge management activities. 
Configures and develops knowledge management systems and standards.","Organises knowledge assets and oversees the life cycle of identifying, capturing, classifying, storing, and maintaining assets. 
Facilitates sharing, collaboration and communication of knowledge. Implements specific knowledge management initiatives.
Monitors the  use and impact of knowledge. 
Interrogates existing knowledge content to identify issues, risks, and opportunities.","Develops and implements knowledge management processes and behaviours. 
Provides advice, guidance, and support to help people to adopt and embed knowledge management. Contributes to the definition of policies, standards, and guidelines for knowledge management.
Evaluates and selects knowledge management methods and tools. Promotes collaborative technologies, processes and behaviours to facilitate sharing of ideas and work-knowledge. 
Shares ideas and examples of existing practices. Implements knowledge management at programme, project and team level.","Develops organisational policies, standards, and guidelines for knowledge management. 
Champions and leads in the development of an organisational knowledge management approach. Shares  different approaches for knowledge sharing across communities of practice, business units, and networks.
Promotes knowledge-sharing through operational business processes and systems. Monitors and evaluates knowledge-sharing initiatives. 
Manages reviews of the benefits and value of knowledge management. Identifies and recommends improvements.","Develops an organisation-wide knowledge management strategy and leads the creation of a knowledge management culture. 
Embeds knowledge management across business units and develops strategic knowledge management capabilities. 
Reinforces the importance of knowledge sharing by aligning individual and organisational objectives and rewards. 
Identifies opportunities for strategic relationships or partnerships with customers, suppliers, and partners."
74,,,,4,5,6,7,SCMO,Scientific modelling,Development and implementation,Computational science,Applying computer simulation and other forms of computation to solve real-world problems in scientific disciplines.,"Activities may include — but are not limited to:

identifying relevant mathematical principles and scientific theory within a computational model
creating, testing and tuning scientific models through the application of computing
validating and interpreting computational models against the reality which the models attempt to represent.
",,,,"Analyses the real-world problem, then selects appropriate physical and mathematical models to approximate the phenomena under investigation. 
Applies relevant mathematical techniques to simulate the problem. 
Conducts quality and performance assessments on computational model outputs and makes improvements to the models. 
Provides advice and guidance to the users of these models.","Investigates real-world problems to assess whether existing scientific models provide effective solutions.
Creates new mathematical representations of the underlying science that can be implemented in a computational model. Applies advanced programming techniques to implement scientific models and apply these for problem-solving. 
Analyses the functioning of existing computational models to improve accuracy and performance. 
Communicates limitations such as uncertainty and systematic errors. Ensures appropriate usage of computational models.","Initiates the creation, testing, improvement and application of mathematical model frameworks representing real-world systems and scientific theories. 
Sets standards and approaches for the application of scientific modelling. 
Oversees the representation of science and mathematics principles and theories in models to ensure appropriate, consistent and effective usage. 
Develops or introduces new mathematical techniques where necessary.","Directs the creation and review of a cross-functional, enterprise-wide approach and culture for scientific modelling. 
Leads the development of the organisation’s scientific modelling capabilities and champions its use in solving real-world problems."
75,,,,4,5,6,7,NUAN,Numerical analysis,Development and implementation,Computational science,"Creating, analysing, implementing, testing and improving algorithms for numerically solving mathematical problems.","Numerical analysis is the area of mathematics and computer science that creates, analyses, and implements algorithms for numerically solving mathematical problems. Numerical analysis is required for applications including — but not limited to:

simulations of physical systems
machine learning
data analytics 

Numerical analysis is concerned with:

floating-point arithmetic and the resulting accumulation of rounding errors (integer arithmetic which has different considerations)
consideration of the numerical stability, condition numbers, accuracy, computational complexity and usability of algorithms that solve mathematical problems.
",,,,"Creates moderately complex algorithms using a range of mathematical techniques and with sensitivity to the limitations of the techniques. 
Uses sophisticated scientific computing and visualisation environments. 
Assesses the stability, accuracy and efficiency of algorithms and makes or recommends improvements to them. 
Iterates and improves models using feedback from experts as appropriate.","Creates, tests and improves complex algorithms that numerically solve real-world problems. 
Develops mathematical and computational techniques to assist with numerical analysis. 
Communicates limitations such as uncertainty and systematic errors. 
Reviews algorithms for their conformance to design and performance standards.","Initiates the creation, testing, improvement and application of numerical algorithms that solve real-world mathematical problems. 
Sets standards and strategies for the application of numerical analysis. 
Leads the implementation of numerical analyses capabilities to ensure appropriate, consistent and effective usage across the organisation.","Directs the creation and review of a cross-functional, enterprise-wide approach and culture for numerical analysis. 
Leads the development of the organisation’s numerical analysis capabilities and champions its use in solving real-world problems."
76,,,,4,5,6,7,HPCC,High-performance computing,Development and implementation,Computational science,Using advanced computer systems and special programming techniques to solve complex computational problems.,"High-performance computing (HPC) is the use of super computers and parallel processing techniques for solving complex computational problems. HPC technology focuses on developing parallel processing algorithms and systems.
High-performance computing is typically used for solving advanced problems and performing research activities through computer modelling, simulation and analysis. 
HPC technology is implemented in a variety of disciplines including — but not limited to:

biosciences and molecular modelling
geographical data
oil and gas exploration
climate modelling and weather forecasting
physical simulations
cryptanalysis.

The terms high-performance computing and supercomputing are sometimes used interchangeably.",,,,"Develops moderately complex solutions that use high-performance computing environments to address real-world problems. 
Applies a range of high-performance computing techniques with sensitivity to the limitations of the techniques. Uses input and feedback from experts as appropriate. 
Analyses the complexity, scalability and performance of algorithms, including massively parallel implementations, and makes or recommends improvements.","Creates, tests and improves complex high-performance computing solutions to address real-world problems. 
Collaborates with stakeholders to ensure high-performance computing solutions are effective at addressing their problems. 
Guides development teams in the appropriate and effective use of high-performance computing resources","Initiates the creation, testing, improvement and application of algorithms that solve real-world problems in high-performance computing environments. 
Sets standards and strategies for the use of high-performance computing. 
Leads the implementation of organisational capabilities to ensure appropriate, consistent and effective usage of high-performance computing.","Directs the creation and review of a cross-functional, enterprise-wide approach and culture for high-performance computing.
Leads the development of the organisation’s high-performance computing capabilities and champions its use in solving real-world problems."
77,,,,,5,6,7,ITMG,Technology service management,Delivery and operation,Technology management,Managing the provision of technology-based services to meet defined organisational needs.,"Technology-based services may include — but are not limited to — IT infrastructure, audio-visual services, end-user computing, enterprise applications, facilities, communications services and industrial control systems.
Activities may include — but are not limited to:

approving, preparing, planning and managing new or changed services
managing the performance of systems and services in terms of their contribution to business outcomes, financial costs and sustainability
end-to-end management of services, whether delivered internally or sourced externally
integrating internal and external services as well as delivery options leveraging multiple service delivery capabilities
developing and implementing continual service improvement plans to ensure the technology services adequately support changing needs.
",,,,,"Takes responsibility for managing the design, procurement, installation, upgrading, operation, control, maintenance and effective use of specific technology services.
Leads the delivery of services, ensuring that agreed service levels, security requirements and other quality standards are met. Ensures adherence to relevant policies and procedures.
Ensures that processes and practices are aligned across teams and providers to operate effectively and efficiently. 
Monitors the performance of technology services. Provides appropriate status and other reports to managers and senior users.","Identifies and manages resources needed for budgeting, estimating, planning, developing and delivering a specified portfolio of technology services and systems. 
Engages with and influences stakeholders to ensure that services are developed and managed to meet agreed service levels, security requirements and other quality standards. Plans and manages the implementation of processes and procedures, tools and techniques for monitoring and managing the performance of technology services. 
Aligns the contribution of specified systems and services to clearly stated organisational and financial goals and performance targets. Recommends options for sourcing — whether in-house, outsourced, or a combination.
Monitors performance of delivery teams and takes corrective action where necessary and in line with policies.","Sets strategy for the management of the portfolio of technology services. 
Aligns technology service management with organisational strategies, objectives and emerging opportunities. Promotes the opportunities technology offers the organisation, including the feasibility of change and its likely impact. 
Authorises the establishment of new or modified technology service delivery capabilities. Integrates in-house and outsourced options, as well as delivery options leveraging multiple service delivery capabilities.
Authorises allocation of resources for the planning, development and delivery of all technical services and products. Maintains an overview of the contribution of technology services to organisational success."
78,,2,3,4,5,,,ASUP,Application support,Delivery and operation,Technology management,"Delivering management, technical and administrative services to support and maintain live applications.","Activities may include — but are not limited to:

investigating and resolving issues
implementing working practices to support iterative/agile development and/or cloud-based applications
monitoring performance of applications
providing guidance or training to users — including enhanced levels of support following new/updated software releases
devising permanent or temporary corrections and workarounds for faults
adhering to established safety, security and quality standards
capturing user feedback for subsequent analysis to inform future application development
implementing general or site-specific modifications
updating documentation
maintaining application data
defining enhancements.

Support typically involves close collaboration with application developers and other specialist areas. Application maintenance and support services may be delivered directly to users of the systems or to service delivery functions.",,"Assists with specified maintenance procedures. 
Assists in the investigation and resolution of issues relating to applications.","Follows agreed procedures to identify and resolve issues with applications. 
Uses application management software and tools to collect agreed performance statistics. 
Carries out agreed applications maintenance tasks.","Maintains application support processes, and checks that all requests for support are dealt with according to agreed procedures. 
Uses application management software and tools to investigate issues, collect performance statistics and create reports.","Ensures that all requests for support are dealt with according to set standards and procedures. 
Drafts and maintains procedures and documentation for applications support. 
Manages application enhancements to improve business performance. 
Advises on application security, licensing, upgrades, backups, and disaster recovery needs.",,
79,1,2,3,4,5,,,ITOP,IT infrastructure,Delivery and operation,Technology management,"Deploying, configuring and operating IT Infrastructure.","IT infrastructure components include, but are not limited to, physical devices, virtual resources, infrastructure-related software, middleware, network services and data storage. Infrastructure components may be on-premises, outsourced, or provisioned as cloud services.
Activities may include — but are not limited to:

preparing for new or changed services to meet defined needs of organisational users or providers
maintaining and enhancing the IT infrastructure and infrastructure components, including task automation via tools and coding
managing and applying software updates
building and managing systems and components in virtualised and cloud computing environments
monitoring the performance of systems and services related to their contribution to organisation performance, security and sustainability.
","Contributes, under supervision, to routine infrastructure operation.
Gains understanding of infrastructure components and services by following the activities of experienced colleagues.","Carries out routine operational procedures, including the execution of specified automation tools/scripts.
Amends existing automation tasks under supervision to gain a basic understanding of the scripting language/automation tools.
Contributes to maintenance and installation. Monitors and reports on infrastructure performance to enable service delivery. Resolves issues or refers to others for assistance.","Provisions/installs, configures and maintains infrastructure services and components.
Monitors, measures and reports on infrastructure load, performance and security events. Identifies operational issues and contributes to their resolution.
Carries out agreed operational procedures, including backup/restore, using supplied infrastructure tools and scripts.
Carries out agreed system software maintenance tasks. Automates routine system administration tasks to specifications using standard tools and basic scripting.","Provides technical expertise to enable the correct application of operational procedures.
Contributes to the planning and implementation of infrastructure maintenance and updates. Implements agreed infrastructure changes and maintenance routines. 
Uses infrastructure management tools to determine load and performance statistics. Configures tools and/or creates scripts to automate the provisioning, testing and deployment of new and changed infrastructure. Maintains operational procedures and checks that they are executed following agreed standards.
Investigates and enables the resolution of operational issues. Provides reports and proposals for improvement, to specialists, users and managers.","Provides technical leadership to optimise the performance of IT infrastructure. 
Investigates and manages the adoption of tools, techniques and processes (including automation) for the management of systems and services.
Oversees the planning, installation, maintenance and acceptance of new and updated infrastructure components and infrastructure-based services. Aligns to service expectations, security requirements and other quality standards. 
Ensures that operational procedures and documentation are fit for purpose and kept up to date. Ensures that operational issues are identified, recorded, monitored and resolved. Provides appropriate status and other reports to specialists, users and managers.",,
80,,,3,4,5,,,SYSP,System software,Delivery and operation,Technology management,"Installing, managing, controlling, deploying and maintaining infrastructure systems software, to meet operational needs and service levels.","The term system software refers to operating systems, utilities and middleware that are essential elements of the IT Infrastructure and which enable applications to run.
System software may run in cloud, virtual or physical hardware environments and includes — but is not limited to — operating systems, hypervisors, function libraries and device drivers, networking, database and storage management products, and system utilities.
Activities may include — but are not limited to:

monitoring and optimising the performance of system software
resolving potential and actual service problems
evaluating new system software
reviewing system software updates 
provisioning and testing system software updates 
adhering to established safety, security and quality standards.
",,,"Monitors operational systems for resource usage and failure rates, to inform and facilitate system software tuning.
Applies system software parameters to maximise throughput and efficiency.
Installs and tests new versions of system software. 
Contributes to preparation of software implementation procedures with fall back contingency plans.","Monitors system software metrics and adjusts configurations for optimum availability and performance.
Reviews system software updates and identifies those that merit action.
Configures system software for required functionality and performance.
Investigates and resolves system software problems, requesting action from supplier if required.","Ensures that system software is provisioned and configured to facilitate the achievement of service objectives. 
Evaluates new system software and recommends adoption if appropriate. Plans the provisioning and testing of new versions of system software. 
Investigates and coordinates the resolution of potential and actual service problems. 
Ensures that operational procedures and diagnostics for system software are current, accessible and well understood.",,
81,,2,3,4,5,,,NTAS,Network support,Delivery and operation,Technology management,Providing maintenance and support services for communications networks.,"Activities may include — but are not limited to:

monitoring network performance
investigating and resolving problems
devising work-arounds and correcting faults
making general or site-specific modifications
operational configuration of network components
testing networks, both routinely and after modification or fault/fix
adhering to established safety, security and quality standards
providing information, advice or training to users about networks functionality.

Support may be provided direct to users of the network or to service delivery functions.",,"Contributes to the operational configuration of network components. 
Assists in the investigation and resolution of network problems. 
Assists with specified maintenance procedures.","Carries out agreed network maintenance tasks and specified operational configuration of network components. 
Establish and diagnose network problems/faults using the required troubleshooting methodology and tools. 
Uses network management software and tools to collect agreed performance and traffic statistics.","Maintains the network support process and checks that all requests for support are dealt with according to agreed procedures. 
Ensures network configurations are applied to meet operational requirements in line with agreed procedures.
Uses network management software and tools to investigate and diagnose network problems, collect performance statistics and create reports.","Drafts and maintains procedures and documentation for network support and operation. 
Makes a significant contribution to the investigation, diagnosis and resolution of network problems. 
Ensures that all requests for support are dealt with according to set standards and procedures.",,
